timestamp,gpu,power_w
2026-02-06 17:54:01.676695,0,76.71
2026-02-06 17:54:01.716156,0,76.81
2026-02-06 17:54:01.754009,0,76.71
2026-02-06 17:54:01.789897,0,76.90
2026-02-06 17:54:01.829584,0,77.00
2026-02-06 17:54:01.869782,0,76.81
2026-02-06 17:54:01.909937,0,76.71
2026-02-06 17:54:01.950103,0,76.90
2026-02-06 17:54:01.990043,0,76.90
2026-02-06 17:54:02.025902,0,77.00
2026-02-06 17:54:02.065110,0,77.00
2026-02-06 17:54:02.102498,0,77.00
2026-02-06 17:54:02.139219,0,76.90
2026-02-06 17:54:02.177137,0,77.00
2026-02-06 17:54:02.214299,0,76.90
2026-02-06 17:54:02.252432,0,78.96
2026-02-06 17:54:02.291166,0,79.16
2026-02-06 17:54:02.331307,0,79.06
2026-02-06 17:54:02.370862,0,79.15
2026-02-06 17:54:02.413475,0,79.15
2026-02-06 17:54:02.450775,0,79.05
2026-02-06 17:54:02.491067,0,79.15
2026-02-06 17:54:02.531079,0,79.25
2026-02-06 17:54:02.571144,0,79.15
2026-02-06 17:54:02.611084,0,79.15
2026-02-06 17:54:02.651002,0,79.16
2026-02-06 17:54:02.691708,0,79.35
2026-02-06 17:54:02.731208,0,79.25
2026-02-06 17:54:02.767168,0,79.25
2026-02-06 17:54:02.803930,0,79.15
2026-02-06 17:54:02.841247,0,79.35
2026-02-06 17:54:02.878886,0,79.35
2026-02-06 17:54:02.916115,0,79.25
2026-02-06 17:54:02.953336,0,79.15
2026-02-06 17:54:02.991840,0,79.15
2026-02-06 17:54:03.031881,0,79.15
2026-02-06 17:54:03.072080,0,80.72
2026-02-06 17:54:03.112305,0,81.40
2026-02-06 17:54:03.147979,0,81.50
2026-02-06 17:54:03.184532,0,81.40
2026-02-06 17:54:03.220542,0,81.50
2026-02-06 17:54:03.257146,0,81.50
2026-02-06 17:54:03.295514,0,81.50
2026-02-06 17:54:03.332697,0,81.69
2026-02-06 17:54:03.372771,0,81.59
2026-02-06 17:54:03.414635,0,81.50
2026-02-06 17:54:03.452495,0,81.50
2026-02-06 17:54:03.492780,0,81.50
2026-02-06 17:54:03.528792,0,81.59
2026-02-06 17:54:03.597567,0,81.50
2026-02-06 17:54:03.635687,0,81.59
2026-02-06 17:54:03.675520,0,81.50
2026-02-06 17:54:03.716303,0,81.59
2026-02-06 17:54:03.756915,0,81.50
2026-02-06 17:54:03.797086,0,81.60
2026-02-06 17:54:03.833436,0,81.59
2026-02-06 17:54:03.871212,0,81.69
2026-02-06 17:54:03.913173,0,81.69
2026-02-06 17:54:03.953523,0,81.69
2026-02-06 17:54:03.994103,0,81.69
2026-02-06 17:54:04.031853,0,81.59
2026-02-06 17:54:04.071608,0,81.59
2026-02-06 17:54:04.112071,0,81.69
2026-02-06 17:54:04.153080,0,81.50
2026-02-06 17:54:04.196713,0,80.52
2026-02-06 17:54:04.235213,0,79.35
2026-02-06 17:54:04.277559,0,79.15
2026-02-06 17:54:04.317338,0,79.44
2026-02-06 17:54:04.357806,0,79.35
2026-02-06 17:54:04.396738,0,79.35
2026-02-06 17:54:04.434798,0,79.35
2026-02-06 17:54:04.475539,0,79.25
2026-02-06 17:54:04.518249,0,79.44
2026-02-06 17:54:04.554657,0,79.25
2026-02-06 17:54:04.594791,0,79.25
2026-02-06 17:54:04.635229,0,79.15
2026-02-06 17:54:04.674780,0,79.25
2026-02-06 17:54:04.715249,0,79.25
2026-02-06 17:54:04.755335,0,79.06
2026-02-06 17:54:04.795336,0,79.25
2026-02-06 17:54:04.835524,0,79.25
2026-02-06 17:54:04.869574,0,79.15
2026-02-06 17:54:04.903682,0,79.16
2026-02-06 17:54:04.942222,0,79.16
2026-02-06 17:54:04.979568,0,79.05
2026-02-06 17:54:05.015736,0,79.16
2026-02-06 17:54:05.055647,0,79.35
2026-02-06 17:54:05.095908,0,79.25
2026-02-06 17:54:05.135656,0,79.16
2026-02-06 17:54:05.175972,0,79.05
2026-02-06 17:54:05.216015,0,79.25
2026-02-06 17:54:05.256331,0,79.25
2026-02-06 17:54:05.296167,0,79.06
2026-02-06 17:54:05.336094,0,79.25
2026-02-06 17:54:05.376676,0,79.25
2026-02-06 17:54:05.416621,0,79.15
2026-02-06 17:54:05.456522,0,79.35
2026-02-06 17:54:05.492521,0,79.15
2026-02-06 17:54:05.528824,0,79.44
2026-02-06 17:54:05.566288,0,79.25
2026-02-06 17:54:05.602833,0,79.35
2026-02-06 17:54:05.639340,0,79.44
2026-02-06 17:54:05.677271,0,79.35
2026-02-06 17:54:05.716943,0,79.44
2026-02-06 17:54:05.757141,0,79.44
2026-02-06 17:54:05.797335,0,79.44
2026-02-06 17:54:05.833100,0,79.44
2026-02-06 17:54:05.870481,0,79.44
2026-02-06 17:54:05.908184,0,79.44
2026-02-06 17:54:05.945011,0,78.36
2026-02-06 17:54:05.980986,0,78.36
2026-02-06 17:54:06.017540,0,78.18
2026-02-06 17:54:06.057913,0,78.17
2026-02-06 17:54:06.097705,0,78.08
2026-02-06 17:54:06.137556,0,77.97
2026-02-06 17:54:06.174059,0,78.08
2026-02-06 17:54:06.210477,0,79.15
2026-02-06 17:54:06.248572,0,79.25
2026-02-06 17:54:06.284548,0,79.44
2026-02-06 17:54:06.323328,0,79.44
2026-02-06 17:54:06.362889,0,79.35
2026-02-06 17:54:06.400753,0,79.35
2026-02-06 17:54:06.438336,0,79.45
2026-02-06 17:54:06.478854,0,79.45
2026-02-06 17:54:06.518778,0,79.44
2026-02-06 17:54:06.562331,0,79.35
2026-02-06 17:54:06.599024,0,79.25
2026-02-06 17:54:06.638890,0,79.44
2026-02-06 17:54:06.679180,0,79.44
2026-02-06 17:54:06.719059,0,79.35
2026-02-06 17:54:06.759046,0,79.35
2026-02-06 17:54:06.795352,0,79.35
2026-02-06 17:54:06.830965,0,79.44
2026-02-06 17:54:06.868474,0,79.35
